id,identifier,short_effect
1,stench,Has a 10% chance of making target Pokémon [flinch]{mechanic:flinch} with each hit.
2,drizzle,Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle.
3,speed-boost,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} after each turn.
4,battle-armor,Protects against [critical hits]{mechanic:critical-hit}.
5,sturdy,Prevents being KOed from full [HP]{mechanic:hp}. leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.
6,damp,Prevents []{move:self-destruct}. []{move:explosion}. and []{ability:aftermath} from working while the Pokémon is in battle.
7,limber,Prevents [paralysis]{mechanic:paralysis}.
8,sand-veil,Increases [evasion]{mechanic:evasion} to 1.25x during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.
9,static,Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pokémon on contact.
10,volt-absorb,Absorbs []{type:electric} moves. healing for 1/4 max [HP]{mechanic:hp}.
11,water-absorb,Absorbs []{type:water} moves. healing for 1/4 max [HP]{mechanic:hp}.
12,oblivious,Prevents [infatuation]{mechanic:infatuation} and protects against []{move:captivate}.
13,cloud-nine,Negates all effects of [weather]{mechanic:weather}. but does not prevent the weather itself.
14,compound-eyes,Increases moves' [accuracy]{mechanic:accuracy} to 1.3x.
15,insomnia,Prevents [sleep]{mechanic:sleep}.
16,color-change,Changes type to match when hit by a damaging move.
17,immunity,Prevents [poison]{mechanic:poison}.
18,flash-fire,Protects against []{type:fire} moves.  Once one has been blocked. the Pokémon's own Fire moves inflict 1.5x damage until it leaves battle.
19,shield-dust,Protects against incoming moves' extra effects.
20,own-tempo,Prevents [confusion]{mechanic:confusion}.
21,suction-cups,Prevents being forced out of battle by other Pokémon's moves.
22,intimidate,Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier} upon entering battle.
23,shadow-tag,Prevents opponents from fleeing or switching out.
24,rough-skin,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.
25,wonder-guard,Protects against damaging moves that are not [super effective]{mechanic:super-effective}.
26,levitate,Evades []{type:ground} moves.
27,effect-spore,Has a 30% chance of inflcting either [paralysis]{mechanic:paralysis}. [poison]{mechanic:poison}. or [sleep]{mechanic:sleep} on attacking Pokémon on contact.
28,synchronize,Copies [burns]{mechanic:burn}. [paralysis]{mechanic:paralysis}. and [poison]{mechanic:poison} received onto the Pokémon that inflicted them.
29,clear-body,Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pokémon.
30,natural-cure,Cures any [major status ailment]{mechanic:major-status-ailment} upon switching out.
